audience,example,person,entity_type,count,over_summary_length
peer,none,1,MONEY,1,0.00037257824143070045
peer,none,1,PERSON,7,0.0026080476900149033
peer,none,1,DATE,49,0.01825633383010432
peer,none,1,CARDINAL,4,0.0014903129657228018
peer,none,1,ORG,2,0.0007451564828614009
peer,none,1,GPE,16,0.005961251862891207
peer,none,1,LOC,1,0.00037257824143070045
peer,none,1,LANGUAGE,1,0.00037257824143070045
peer,none,1,FAC,1,0.00037257824143070045
peer,none,1,TOTAL,83,0.030923994038748136
peer,manual_example,1,NORP,3,0.0014829461196243204
peer,manual_example,1,MONEY,1,0.0004943153732081067
peer,manual_example,1,ORG,4,0.001977261492832427
peer,manual_example,1,GPE,13,0.006426099851705388
peer,manual_example,1,LOC,2,0.0009886307464162135
peer,manual_example,1,PERSON,8,0.003954522985664854
peer,manual_example,1,DATE,3,0.0014829461196243204
peer,manual_example,1,TIME,1,0.0004943153732081067
peer,manual_example,1,TOTAL,35,0.01730103806228374
peer,manual_example,1,NORP,3,0.0014829461196243204
peer,manual_example,1,MONEY,1,0.0004943153732081067
peer,manual_example,1,ORG,4,0.001977261492832427
peer,manual_example,1,GPE,13,0.006426099851705388
peer,manual_example,1,LOC,2,0.0009886307464162135
peer,manual_example,1,PERSON,8,0.003954522985664854
peer,manual_example,1,DATE,3,0.0014829461196243204
peer,manual_example,1,TIME,1,0.0004943153732081067
peer,manual_example,1,TOTAL,35,0.01730103806228374
peer,manual_example,1,NORP,3,0.0014829461196243204
peer,manual_example,1,MONEY,1,0.0004943153732081067
peer,manual_example,1,ORG,4,0.001977261492832427
peer,manual_example,1,GPE,13,0.006426099851705388
peer,manual_example,1,LOC,2,0.0009886307464162135
peer,manual_example,1,PERSON,8,0.003954522985664854
peer,manual_example,1,DATE,3,0.0014829461196243204
peer,manual_example,1,TIME,1,0.0004943153732081067
peer,manual_example,1,TOTAL,35,0.01730103806228374
peer,masked_manual_example,1,NORP,1,0.00044033465433729633
peer,masked_manual_example,1,MONEY,1,0.00044033465433729633
peer,masked_manual_example,1,ORG,1,0.00044033465433729633
peer,masked_manual_example,1,GPE,11,0.0048436811977102595
peer,masked_manual_example,1,LOC,1,0.00044033465433729633
peer,masked_manual_example,1,DATE,1,0.00044033465433729633
peer,masked_manual_example,1,PERSON,3,0.001321003963011889
peer,masked_manual_example,1,TOTAL,19,0.00836635843240863
peer,masked_manual_example,1,NORP,1,0.00044033465433729633
peer,masked_manual_example,1,MONEY,1,0.00044033465433729633
peer,masked_manual_example,1,ORG,1,0.00044033465433729633
peer,masked_manual_example,1,GPE,11,0.0048436811977102595
peer,masked_manual_example,1,LOC,1,0.00044033465433729633
peer,masked_manual_example,1,DATE,1,0.00044033465433729633
peer,masked_manual_example,1,PERSON,3,0.001321003963011889
peer,masked_manual_example,1,TOTAL,19,0.00836635843240863
peer,masked_manual_example,1,NORP,1,0.00044033465433729633
peer,masked_manual_example,1,MONEY,1,0.00044033465433729633
peer,masked_manual_example,1,ORG,1,0.00044033465433729633
peer,masked_manual_example,1,GPE,11,0.0048436811977102595
peer,masked_manual_example,1,LOC,1,0.00044033465433729633
peer,masked_manual_example,1,DATE,1,0.00044033465433729633
peer,masked_manual_example,1,PERSON,3,0.001321003963011889
peer,masked_manual_example,1,TOTAL,19,0.00836635843240863
peer,masked_template,1,CARDINAL,2,0.0008210180623973727
peer,masked_template,1,PERCENT,1,0.00041050903119868636
peer,masked_template,1,NORP,2,0.0008210180623973727
peer,masked_template,1,MONEY,3,0.0012315270935960591
peer,masked_template,1,ORG,2,0.0008210180623973727
